Company Name,GPM PROPERTY MANAGEMENT
Phone Number,734-287-6619
Source,Purchase Details
Date Range,2024-08-21 to 2026-09-21
Export Date,September-21-2026 13:01:39


Date,Store Number,Transaction Id,Register Number,Job Name,SKU Number,SKU Description,Quantity,Original Unit Price,Department Name,Class Name,Subclass Name,Program Discount Amount,Program Discount Indicator,Other Discount Amount,Extended Retail (before discount),Net Unit Price,Company Name
2024-09-20,2709,7976,1,personxl,1009010687,HUSKY RED CONTRACTORS RIG,1,$49.98,HARDWARE,STORAGE DEVICES,POUCHES/BELTS,$0.000000,,$0.00,$49.98,$49.98,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7981,1,111616,670488,"24""X50' TRIM COIL - WHITE/WHITE",1,$139.00,BLDG. MATERIALS,SIDING,TRIMCOIL,$0.000000,,$0.00,$139.00,$139.00,GPM PROPERTY MANAGEMENT
2024-09-20,2018,9639,1,8,711707,DPK CASE  11/16 X2-1/4X7 PFJ WM356,1,$25.46,MILLWORK,MOULDINGS,PRIMED FINGERJOINT,$0.000000,,$0.00,$25.46,$25.46,GPM PROPERTY MANAGEMENT
2024-09-20,2702,8039,52,nick personal,901109,ANVIL STRAIGHT CUT AVIATION SNIP-3PK,1,$15.97,HARDWARE,HAND TOOLS,CUTTING TOOLS,$0.000000,,$0.00,$15.97,$15.97,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7977,1,personal,1009010687,HUSKY RED CONTRACTORS RIG,1,$49.98,HARDWARE,STORAGE DEVICES,POUCHES/BELTS,$0.000000,,$0.00,$49.98,$49.98,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,914681,1X4X8 NO.2,1,$5.44,LUMBER,BOARDS,WHITEWOOD,$0.000000,,$-0.38,$5.06,$5.06,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,914681,1X4X8 NO.2,1,$5.44,LUMBER,BOARDS,WHITEWOOD,$0.000000,,$-0.38,$5.06,$5.06,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,914681,1X4X8 NO.2,1,$5.44,LUMBER,BOARDS,WHITEWOOD,$0.000000,,$-0.38,$5.06,$5.06,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,1001394367,WSTR PRO POLY 3.0 AGL SASH ALL PNT,1,$16.47,PAINT,APPLICATORS,BEST/PRO BRUSHES,$0.000000,,$-1.48,$14.99,$14.99,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,1001217462,WSTR PELICAN LINER 3 PK,1,$4.77,PAINT,APPLICATORS,TRAYS / LINERS,$0.000000,,$-0.29,$4.48,$4.48,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,914681,1X4X8 NO.2,1,$5.44,LUMBER,BOARDS,WHITEWOOD,$0.000000,,$-0.38,$5.06,$5.06,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,173252,"OSI QUAD W,D&S SEALANT WHITE 10 OZ",9,$8.48,PAINT,CAULKS,SOLVENT,$0.000000,,$-5.40,$70.92,$70.92,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,1001652121,BEST MICROFIBER 9/16 TRAY SET - 6 PC,1,$15.98,PAINT,APPLICATORS,ROLLER TRAY KITS,$0.000000,,$-1.28,$14.70,$14.70,GPM PROPERTY MANAGEMENT
2024-09-20,2709,7978,1,111616,914673,1X4X6 NO.2,1,$4.12,LUMBER,BOARDS,WHITEWOOD,$0.000000,,$-0.29,$3.83,$3.83,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,563173,2G IVORY MIDWAY BLANK WALLPLT,1,$1.68,ELECTRICAL,WIRING DEVICES,WALL PLATES (COMMODITY),$0.000000,,$-0.17,$1.51,$1.51,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,1003238908,CARLON 2G 48.2CU. PVC NEW/OLD WORK,1,$3.76,ELECTRICAL,CONDUIT/BOXES/FITTINGS,PVC BOX/COVERS/ACCESS,$0.000000,,$0.00,$3.76,$3.76,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,306513,WM 126 1/2 in. x 3/4,245,$0.54,MILLWORK,MOULDINGS,PRIMED FINGERJOINT,$0.000000,,$-14.70,$117.60,$117.60,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,582616,GOOF OFF AEROSOL 12OZ,1,$5.96,PAINT,SOLVENTS/REMOVERS/CLEANR,CLEANERS,$0.000000,,$0.00,$5.96,$5.96,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,1009677844,TOOLBOX WHITE RAGS 55CT ROLL,1,$1.98,PAINT,SHEETING/BUCKETS,RAGS/CLOTHS/SPONGES,$0.000000,,$-0.14,$1.84,$1.84,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,495275,LOCTITE POWER GRAB HEAVY DUTY 9 OZ,2,$6.48,PAINT,CONSTRUCTION ADHESIVE,GEN PURPOSE-HEAVY DUTY,$0.000000,,$-0.78,$12.18,$12.18,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,818771,"36"" 100 SS WHITE W/ BLACK HDW",1,$144.00,MILLWORK,,,$0.000000,,$0.00,$144.00,$144.00,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,121586,4x8x.090 FRP Texture,2,$38.98,MILLWORK,PANELING,FRP PANELS,$0.000000,,$0.00,$77.96,$77.96,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,549061,"PC 18GA 1-1/4"" BRT STRT BRAD 1M",2,$8.98,HARDWARE,PNEUMATIC FASTENERS,FINISH NAILS/STAPLES,$0.000000,,$-2.70,$15.26,$15.26,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,1001789733,TM 6X36 KHAKI OAK VP GRIP 24SF,18,$47.76,WALL&FLOOR COVER.,VINYL PLANK,VNYL GSP/TL,$0.000000,,$-43.02,$816.66,$816.66,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,198225,"30""X80""1-3/8"" HC 6PNL MLDED PB SLAB",1,$65.00,MILLWORK,INTERIOR DOORS,MOLDED MACHINED SLABS,$0.000000,,$-5.20,$59.80,$59.80,GPM PROPERTY MANAGEMENT
2024-09-19,2744,2328,97,112407,168206,LWM 633 1/2 in. x 3-,17,$0.98,MILLWORK,MOULDINGS,FIBERBOARD,$0.000000,,$-2.55,$14.11,$14.11,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,284876,KWIK SEAL TUB & TILE WHITE 10.1 OZ,1,$6.78,PAINT,CAULKS,LATEX K&B,$0.000000,,$-0.34,$6.44,$6.44,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,1000994482,LINZER 9 IN PET TRAY LINER WHITE 1PK,1,$0.98,PAINT,APPLICATORS,TRAYS / LINERS,$0.000000,,$-0.06,$0.92,$0.92,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,1006225100,ANVIL T-KNIVES 2/4/6  PLASTIC,1,$3.48,BLDG. MATERIALS,GYPSUM,TOOLS,$0.000000,,$0.00,$3.48,$3.48,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,1001287203,BEST TRYLON 2.0 ANGLE SASH ALL PAINT,1,$10.97,PAINT,APPLICATORS,BEST/PRO BRUSHES,$0.000000,,$-0.99,$9.98,$9.98,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,512437,INT/EXT SPACKLING PASTE 1/2 PINT,1,$6.98,PAINT,PATCHING & REPAIR,SPACKLING,$0.000000,,$-0.14,$6.84,$6.84,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,258193,"OSI QUAD W,D&S SEALANT BEIGE 10 OZ",1,$8.48,PAINT,CAULKS,SOLVENT,$0.000000,,$-0.59,$7.89,$7.89,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,606517,GLID PREM INT EGG PURE WHITE 124OZ,1,$24.98,PAINT,INTERIOR PAINT,GLIDDEN PREMIUM,$-5.000000,,$0.00,$19.98,$19.98,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,1001652121,BEST MICROFIBER 9/16 TRAY SET - 6 PC,1,$15.98,PAINT,APPLICATORS,ROLLER TRAY KITS,$0.000000,,$-1.28,$14.70,$14.70,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,1001546627,TOOLBOX WHITE RAGS 200CT BOX,1,$13.98,PAINT,SHEETING/BUCKETS,RAGS/CLOTHS/SPONGES,$0.000000,,$-0.98,$13.00,$13.00,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,1000537032,3M PGP CHANNEL 80G 1PK,1,$6.48,PAINT,ABRASIVES,SANDING SPONGES,$0.000000,,$-0.45,$6.03,$6.03,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,175415,KWIK SEAL WHITE 5.5 OZ,1,$5.48,PAINT,CAULKS,LATEX K&B,$0.000000,,$-0.27,$5.21,$5.21,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,1001690013,3M PGP CHANNEL 60G 2PK,1,$9.98,PAINT,ABRASIVES,SANDING SPONGES,$0.000000,,$-0.70,$9.28,$9.28,GPM PROPERTY MANAGEMENT
2024-09-19,2709,7706,1,112816,606517,GLID PREM INT EGG PURE WHITE 124OZ,1,$24.98,PAINT,INTERIOR PAINT,GLIDDEN PREMIUM,$-4.990000,,$0.00,$19.99,$19.99,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,1009565477,10.1 SLS BLK,1,$9.98,BLDG. MATERIALS,CONCRETE,COMM GRADE CONCRETE,$0.000000,,$-1.00,$8.98,$8.98,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,1003308369,"6-7/8"" CAST IRON DRAIN STRAINER",1,$21.00,PLUMBING,PIPE AND FITTINGS,SHOWER DRAINS,$0.000000,,$-0.63,$20.37,$20.37,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,1009565477,10.1 SLS BLK,1,$9.98,BLDG. MATERIALS,CONCRETE,COMM GRADE CONCRETE,$0.000000,,$-1.00,$8.98,$8.98,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,523432,"GRK RT TRIM SCREW 8X2-1/2"" 390PK",1,$45.48,HARDWARE,FASTENERS,AVAILABLE,$0.000000,,$-5.46,$40.02,$40.02,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,1009565477,10.1 SLS BLK,1,$9.98,BLDG. MATERIALS,CONCRETE,COMM GRADE CONCRETE,$0.000000,,$-1.00,$8.98,$8.98,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,1009565477,10.1 SLS BLK,1,$9.98,BLDG. MATERIALS,CONCRETE,COMM GRADE CONCRETE,$0.000000,,$-1.00,$8.98,$8.98,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,1009565477,10.1 SLS BLK,1,$9.98,BLDG. MATERIALS,CONCRETE,COMM GRADE CONCRETE,$0.000000,,$-1.00,$8.98,$8.98,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,1001187704,"DW 18GA 1-3/4"" BRT STRT BRAD 2.5M",1,$18.98,HARDWARE,PNEUMATIC FASTENERS,FINISH NAILS/STAPLES,$0.000000,,$-2.85,$16.13,$16.13,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6000,51,112982,1009565477,10.1 SLS BLK,1,$9.98,BLDG. MATERIALS,CONCRETE,COMM GRADE CONCRETE,$0.000000,,$-0.99,$8.99,$8.99,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3750,8,113597,284697,DAP ULTRA CLEAR 10.1 OZ. ALL PURPOSE,1,$13.98,PAINT,CAULKS,SOLVENT,$0.000000,,$-0.98,$13.00,$13.00,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3750,8,113597,1010608808,"SMOKE AA BATTERY 4""",1,$17.97,ELECTRICAL,SAFETY/SECURITY,SMOKE DETECTORS,$0.000000,,$-2.34,$15.63,$15.63,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3750,8,113597,559352,R13KF15X32,1,$18.97,BLDG. MATERIALS,INSULATION,FIBERGLASS ROLLS,$0.000000,,$-1.33,$17.64,$17.64,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3750,8,113597,284876,KWIK SEAL TUB & TILE WHITE 10.1 OZ,1,$6.78,PAINT,CAULKS,LATEX K&B,$0.000000,,$-0.34,$6.44,$6.44,GPM PROPERTY MANAGEMENT
2024-09-19,2738,6578,97,113084 reinson,1006225100,ANVIL T-KNIVES 2/4/6  PLASTIC,1,$3.48,BLDG. MATERIALS,GYPSUM,TOOLS,$0.000000,,$0.00,$3.48,$3.48,GPM PROPERTY MANAGEMENT
2024-09-19,2738,6578,97,113084 reinson,1005350769,"MKE TORCH 5PK 9"" 10TPI THICK MTL",1,$22.97,HARDWARE,POWER TOOL ACCESSORIES,RECIPROCATING SAW BLADES,$0.000000,,$-1.61,$21.36,$21.36,GPM PROPERTY MANAGEMENT
2024-09-19,2738,6578,97,113084 reinson,738883,1QT QUIKRETE CRACK SEAL,1,$12.98,BLDG. MATERIALS,CONCRETE,CONCRETE REPAIR,$0.000000,,$-1.30,$11.68,$11.68,GPM PROPERTY MANAGEMENT
2024-09-19,2738,6578,97,113084 reinson,218458,2 in. x 4 in. x 8 ft,1,$3.98,LUMBER,PRESSURE TREATED/DECKING,PT DIMENSIONAL LUMBER,$0.000000,,$-0.12,$3.86,$3.86,GPM PROPERTY MANAGEMENT
2024-09-19,2789,9805,1,113015 15748 Isabella,563438,1G WHT MIDWAY SWITCH WALLPLT,1,$0.58,ELECTRICAL,WIRING DEVICES,WALL PLATES (COMMODITY),$0.000000,,$-0.06,$0.52,$0.52,GPM PROPERTY MANAGEMENT
2024-09-19,2789,9805,1,113015 15748 Isabella,224175,1G WHT PLSTC BLANK WALLPLT,1,$0.77,ELECTRICAL,WIRING DEVICES,WALL PLATES (COMMODITY),$0.000000,,$-0.08,$0.69,$0.69,GPM PROPERTY MANAGEMENT
2024-09-19,2703,826,62,stock,1004215333,"HSKY T-KNIFE 10"" SS SFGRP",1,$12.98,BLDG. MATERIALS,GYPSUM,TOOLS,$0.000000,,$0.00,$12.98,$12.98,GPM PROPERTY MANAGEMENT
2024-09-19,2703,826,62,stock,1006225092,"ANVIL MUD PAN 12"" PLASTIC",1,$5.48,BLDG. MATERIALS,GYPSUM,TOOLS,$0.000000,,$0.00,$5.48,$5.48,GPM PROPERTY MANAGEMENT
2024-09-19,2703,827,62,113189,1001382151,USG DC 3.5QT,1,$10.20,BLDG. MATERIALS,GYPSUM,JOINT TREATMENT,$0.000000,,$0.00,$10.20,$10.20,GPM PROPERTY MANAGEMENT
2024-09-19,2709,6001,51,sheldon van stock,295506,"DIABLO 12"" 100T ULTIMATE FINISH CSB",1,$78.97,HARDWARE,POWER TOOL ACCESSORIES,CIRCULAR SAW BLADES,$0.000000,,$-7.11,$71.86,$71.86,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2706,97,113084 Brinson,376757,"3/4"" HOSE CONNECTION VACUUM BREAKER",3,$6.35,PLUMBING,PIPE AND FITTINGS,VALVES ONLY,$0.000000,,$-1.53,$17.52,$17.52,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2706,97,113084 Brinson,1001846615,Acrylic Micro Prism,1,$14.51,WALL&FLOOR COVER.,CEILINGS,LIGHT PANELS,$0.000000,,$-0.73,$13.78,$13.78,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2706,97,113084 Brinson,738883,1QT QUIKRETE CRACK SEAL,1,$12.98,BLDG. MATERIALS,CONCRETE,CONCRETE REPAIR,$0.000000,,$-1.30,$11.68,$11.68,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2706,97,113084 Brinson,661822,PORCELAIN CEILING W/GROUNDED OUTLET,1,$5.98,ELECTRICAL,WIRING DEVICES,SPECIALTY,$0.000000,,$-0.60,$5.38,$5.38,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2706,97,113084 Brinson,181994,"1/2"" GAL CAP",1,$1.49,PLUMBING,PIPE AND FITTINGS,GALVANIZED FITTINGS,$0.000000,,$-0.16,$1.33,$1.33,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2706,97,113084 Brinson,182001,"3/4"" GAL CAP",1,$1.87,PLUMBING,PIPE AND FITTINGS,GALVANIZED FITTINGS,$0.000000,,$-0.21,$1.66,$1.66,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2706,97,113084 Brinson,1001753743,2 in. x 4 in. x 8 ft,2,$5.28,LUMBER,PRESSURE TREATED/DECKING,PT DIMENSIONAL LUMBER,$0.000000,,$-0.32,$10.24,$10.24,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2709,97,113508  16520 Griggs,606517,GLID PREM INT EGG PURE WHITE 124OZ,4,$24.98,PAINT,INTERIOR PAINT,GLIDDEN PREMIUM,$-20.000000,,$0.00,$79.92,$79.92,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2709,97,113508  16520 Griggs,434479,12 in. x 14 in. Pock,1,$4.98,PAINT,SHEETING/BUCKETS,RAGS/CLOTHS/SPONGES,$0.000000,,$-0.35,$4.63,$4.63,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2709,97,113508  16520 Griggs,316308,"WALL PROTECT 5"" WHITE",3,$4.27,HARDWARE,BUILDER'S HARDWARE,REPAIR HARDWARE,$0.000000,,$0.00,$12.81,$12.81,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3748,8,113197,376757,"3/4"" HOSE CONNECTION VACUUM BREAKER",1,$6.35,PLUMBING,PIPE AND FITTINGS,VALVES ONLY,$0.000000,,$-0.51,$5.84,$5.84,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3748,8,113197,932337,"42""X15"" POLYE REVERSIBLE BUBBLE WWCV",1,$11.98,MILLWORK,,,$0.000000,,$0.00,$11.98,$11.98,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3748,8,113197,932337,"42""X15"" POLYE REVERSIBLE BUBBLE WWCV",1,$11.98,MILLWORK,,,$0.000000,,$0.00,$11.98,$11.98,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3748,8,113197,267000,HUSKY 42G CONTRACTOR BAGS 50CT,1,$29.97,GARDEN/SEASONAL,CLEANING,TRASH BAGS,$0.000000,,$-2.10,$27.87,$27.87,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3748,8,113197,214126,CHROME TRIM TRIP LEVER BATH DRAIN,1,$29.97,PLUMBING,PLUMBING REPAIR & REPLAC,,$0.000000,,$0.00,$29.97,$29.97,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3748,8,113197,1001294764,"MKE SHOCKWAVE TITANIUM 5/16"" BIT 1PC",1,$11.97,HARDWARE,POWER TOOL ACCESSORIES,TWIST DRILL BITS,$0.000000,,$-1.08,$10.89,$10.89,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2727,97,113615 5644 Grtrude,850572,OPP FIXED SH 1S CH,1,$8.98,PLUMBING,,,$0.000000,,$-0.63,$8.35,$8.35,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2727,97,113615 5644 Grtrude,941988,WM240 1-1-1/4 in. x,2,$6.67,MILLWORK,MOULDINGS,SOFTWOOD SOLID,$0.000000,,$-1.34,$12.00,$12.00,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2727,97,113615 5644 Grtrude,948570,"36"" X 84"" CLEAR ADVANTAGE SCREEN",1,$10.78,MILLWORK,GLASS/SCREEN,SCREEN,$0.000000,,$0.00,$10.78,$10.78,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2727,97,113615 5644 Grtrude,221177,5/16 in. x 48 in. Wh,1,$13.98,MILLWORK,GLASS/SCREEN,SCREEN,$0.000000,,$0.00,$13.98,$13.98,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2727,97,113615 5644 Grtrude,223673,1G WHT DUPLEX WALLPLT,1,$0.48,ELECTRICAL,WIRING DEVICES,WALL PLATES (COMMODITY),$0.000000,,$-0.05,$0.43,$0.43,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2727,97,113615 5644 Grtrude,1006959397,SINK HOLE COVER IN STAINLESS STEEL,1,$4.48,PLUMBING,PLUMBING REPAIR & REPLAC,SINK REPAIR,$0.000000,,$-0.22,$4.26,$4.26,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2727,97,113615 5644 Grtrude,376757,"3/4"" HOSE CONNECTION VACUUM BREAKER",2,$6.35,PLUMBING,PIPE AND FITTINGS,VALVES ONLY,$0.000000,,$-1.02,$11.68,$11.68,GPM PROPERTY MANAGEMENT
2024-09-19,2789,2727,97,113615 5644 Grtrude,1008141763,BADGER 500 LIFT & LATCH STANDARD SER,1,$139.00,KIT/BATH,DISPOSERS,DISPOSERS,$0.000000,,$-13.90,$125.10,$125.10,GPM PROPERTY MANAGEMENT
2024-09-19,2702,3749,8,113197,818787,STORM DOOR,1,$144.00,MILLWORK,,,$0.000000,,$0.00,$144.00,$144.00,GPM PROPERTY MANAGEMENT
2024-09-18,2703,7199,2,112189,219681,10FT CRNRBD,1,$4.98,BLDG. MATERIALS,GYPSUM,CORNERBEAD/TRIM,$0.000000,,$0.00,$4.98,$4.98,GPM PROPERTY MANAGEMENT
2024-09-18,2789,8187,51,van,1001704460,MKE 16PC BIM METAL BLADE SET,1,$27.97,HARDWARE,POWER TOOL ACCESSORIES,RECIPROCATING SAW BLADES,$0.000000,,$-1.96,$26.01,$26.01,GPM PROPERTY MANAGEMENT
2024-09-18,2789,8187,51,van,1005761870,"MAK X-LOCK 4.5"" TURBO RIM DIA BLD",1,$31.97,HARDWARE,POWER TOOL ACCESSORIES,DIAMOND BLADES,$0.000000,,$0.00,$31.97,$31.97,GPM PROPERTY MANAGEMENT
2024-09-18,2789,8187,51,van,1007843820,DIABLO UF WOOD & METAL OMT SET (5PC),1,$29.88,HARDWARE,POWER TOOL ACCESSORIES,OSCILLATING ACCESSORIES,$0.000000,,$-2.69,$27.19,$27.19,GPM PROPERTY MANAGEMENT
2024-09-18,2789,8187,51,van,1000037139,MKE INKZALL FINE PT BLACK MARKER 4PK,1,$3.48,HARDWARE,HAND TOOLS,MARKING & LAYOUT TOOLS,$0.000000,,$0.00,$3.48,$3.48,GPM PROPERTY MANAGEMENT
